"Path","Name","Extension","Kind","Category","Priority","根拠","確度","Phase2必要性"
"C:\fchart\chokan\2013-04-30_all.csv","2013-04-30_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-05-16_all.csv","2013-05-16_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-05-17_all.csv","2013-05-17_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-15.csv","2013-07-15.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-16.csv","2013-07-16.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-17.csv","2013-07-17.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-18.csv","2013-07-18.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-19.csv","2013-07-19.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-22.csv","2013-07-22.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-23.csv","2013-07-23.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-24.csv","2013-07-24.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-25.csv","2013-07-25.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-26.csv","2013-07-26.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-29.csv","2013-07-29.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-30.csv","2013-07-30.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-07-31.csv","2013-07-31.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-01.csv","2013-08-01.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-02.csv","2013-08-02.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-05.csv","2013-08-05.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-06.csv","2013-08-06.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-07.csv","2013-08-07.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-08.csv","2013-08-08.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-09.csv","2013-08-09.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-12.csv","2013-08-12.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-13.csv","2013-08-13.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-14.csv","2013-08-14.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-15.csv","2013-08-15.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-16.csv","2013-08-16.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-19.csv","2013-08-19.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-20.csv","2013-08-20.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-21.csv","2013-08-21.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-22.csv","2013-08-22.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-23.csv","2013-08-23.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-08-26.csv","2013-08-26.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-09-09_all.csv","2013-09-09_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-10-07_all.csv","2013-10-07_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-10-08_all.csv","2013-10-08_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-10-11_all.csv","2013-10-11_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-10-14_all.csv","2013-10-14_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-12-16_all.csv","2013-12-16_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-12-17_all.csv","2013-12-17_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-12-18_all.csv","2013-12-18_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-12-19_all.csv","2013-12-19_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2014-05-09.csv","2014-05-09.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2014-09-15.csv","2014-09-15.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2014-09-16.csv","2014-09-16.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-01-27.csv","2015-01-27.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-09-15.csv","2015-09-15.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-05.csv","2015-10-05.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-06.csv","2015-10-06.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-07.csv","2015-10-07.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-08.csv","2015-10-08.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-09.csv","2015-10-09.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-12.csv","2015-10-12.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-13.csv","2015-10-13.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-14.csv","2015-10-14.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-15.csv","2015-10-15.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-16.csv","2015-10-16.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-19.csv","2015-10-19.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-20.csv","2015-10-20.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-21.csv","2015-10-21.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2015-10-22.csv","2015-10-22.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-06-30.csv","2016-06-30.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-13.csv","2016-07-13.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-14.csv","2016-07-14.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-15.csv","2016-07-15.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-18.csv","2016-07-18.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-19.csv","2016-07-19.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-20.csv","2016-07-20.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-21.csv","2016-07-21.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-22.csv","2016-07-22.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-25.csv","2016-07-25.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-26.csv","2016-07-26.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-27.csv","2016-07-27.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-28.csv","2016-07-28.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-07-29.csv","2016-07-29.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-08-01.csv","2016-08-01.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-08-02.csv","2016-08-02.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-08-03.csv","2016-08-03.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-08-04.csv","2016-08-04.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-08-05.csv","2016-08-05.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-08-08.csv","2016-08-08.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2016-08-09.csv","2016-08-09.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
